Hedge Pair,h* (slope),t-stat,p-value,R-squared,Std Error,Intercept,sigma_S (%),sigma_F (%),n
MSCI World vs S&P 500,0.940134900390688,56.792754842311226,1.1793513845659656e-105,0.9541476687989224,0.016553782309046878,-0.0004220267079140909,2.8355803036941896,2.9461820053983327,157
MSCI EM vs FTSE EM,0.9280788241572093,35.123380767806026,1.0743517399827198e-75,0.8883809523349094,0.026423391025270648,3.682473982593985e-05,2.7035207527949634,2.7456455003052147,157
MSCI Europe vs S&P 500 (Cross),0.8521584956719891,16.769210476957667,1.1870469067774567e-36,0.6446636434358,0.050816852519260096,-0.0011952137371276002,3.1268954571555057,2.9461820053983327,157
MSCI Pacific vs Nikkei 225,0.806647681963029,18.881742046555864,4.9786334251394245e-42,0.6969816534354333,0.042721041309330146,-0.0004826883006598425,2.6661731501669115,2.7594030092944184,157
