Portfolio,Adj_R2,SP500_beta,SP500_t,SP500_p,FTSE_EM_beta,FTSE_EM_t,FTSE_EM_p,CHINA50_beta,CHINA50_t,CHINA50_p,NIKKEI_beta,NIKKEI_t,NIKKEI_p,Significant_Futures
MSCI World,0.9689261457383508,0.7417491453999321,28.02842443280292,6.240292209805171e-62,0.15109226385579236,4.64312734382804,7.368760572718211e-06,-0.04169676470458274,-1.684330295921985,0.09417018196748098,0.15172839921692163,5.7371537267479145,5.0484499513569987e-08,"SP500, FTSE_EM, NIKKEI"
MSCI EM,0.9096206500446411,0.13601280148783892,3.160797081421091,0.0018992849043232144,0.6265299504561996,11.840918779866554,2.4793831409584048e-23,0.2034127500268057,5.053337115533768,1.2309695991461525e-06,0.024197199992201747,0.5626909418322044,0.5744743296587811,"SP500, FTSE_EM, CHINA50"
MSCI Europe,0.7367964432557293,0.2999476072930369,3.5315658415553313,0.0005471935024186919,0.3930982591149063,3.7640012754804766,0.00023835571192620827,-0.10679984884546256,-1.344236904696129,0.18087460477457018,0.4408445303412807,5.193921036130803,6.517832812275229e-07,"SP500, FTSE_EM, NIKKEI"
MSCI Pacific,0.7491367251379826,0.11940888746964184,1.6889270904781664,0.09328375667860264,0.3470683489870201,3.9922340590716234,0.00010157735748471064,-0.10703739981584558,-1.6184268357601634,0.1076438233663401,0.5239339800033764,7.415471939495829,7.920387829920271e-12,"FTSE_EM, NIKKEI"
