Strategy,Notional,Opening_Margin,Maintenance_Margin,Cushion,Stress_1std_Individual,Stress_2std_Individual,Stress_3std_Individual,Stress_1std_Diversified,Stress_2std_Diversified,Stress_3std_Diversified,Diversification_Benefit_Pct,Margin_Call_1std,Margin_Call_2std,Margin_Call_3std
Single-Future,933819185.0,140072877.75,93381918.5,46690959.25,26984986.50803835,53969973.0160767,80954959.52411506,26984986.50803835,53969973.0160767,80954959.52411506,0.0,0,7279013.766076699,34264000.274115056
Multi-Future,968965385.0,145344807.75,96896538.5,48448269.25,27822965.970439687,55645931.940879375,83468897.91131906,27330078.334107783,54660156.668215565,81990235.00232336,1.7715136368120166,0,6211887.418215565,33541965.75232336
Firm-Wide 4F,1052541005.0,157881150.75,105254100.5,52627050.25,29995120.062156804,59990240.12431361,89985360.1864704,27506314.58533952,55012629.17067904,82518943.75601856,8.297367944051913,0,2385578.9206790403,29891893.506018564
Firm-Wide 3F,1022677600.0,153401640.0,102267760.0,51133880.0,29155546.92038548,58311093.84077096,87466640.76115644,26862463.34734468,53724926.69468936,80587390.04203404,7.864999340614254,0,2591046.6946893632,29453510.042034045
Firm-Wide 2F,950166900.0,142525035.0,95016690.0,47508345.0,27454087.526918076,54908175.05383615,82362262.58075424,26291864.32373946,52583728.64747892,78875592.97121838,4.233333932657867,0,5075383.647478923,31367247.971218377
